year_decimal,proportion_limited_KS,proportion_limited_MO,change_KS,change_MO
2011.5,4.07250491736417,4.829841238738111,NA,NA
2012.5,3.9823113318715664,4.8638923167857815,-0.09019358549260348,0.03405107804767038
2013.5,4.323091167689165,5.11105116538806,0.3407798358175982,0.24715884860227888
2014.5,4.077974620893217,5.088143864619766,-0.24511654679594752,-0.022907300768294725
2015.5,4.1947207183257484,4.993238504601042,0.11674609743253139,-0.09490536001872396
2016.5,4.248136439358558,5.065683767278302,0.05341572103280967,0.07244526267726048
2017.5,4.416072146479457,5.080119073142238,0.16793570712089867,0.01443530586393571
2018.5,4.303739018432155,4.987372197850595,-0.11233312804730211,-0.09274687529164272
2019.5,4.049381413517145,4.976460298851166,-0.25435760491500936,-0.010911898999428793
2020.5,4.476272742956996,5.219821796898879,0.42689132943985086,0.24336149804771257
2021.5,4.0588896108410335,5.205869543405526,-0.4173831321159627,-0.013952253493353162
2022.5,4.141721216596651,5.262991437707708,0.08283160575561777,0.057121894302182064
