Region,Date,Min_Wage,,Region,DATE,STTMINWGFG,,MO>Fed
MO,1/1/1991,3.8,,Fed,1/1/1991,3.8,,FALSE
MO,1/1/1992,4.25,,Fed,1/1/1992,4.25,,FALSE
MO,1/1/1993,4.25,,Fed,1/1/1993,4.25,,FALSE
MO,1/1/1994,4.25,,Fed,1/1/1994,4.25,,FALSE
MO,1/1/1995,4.25,,Fed,1/1/1995,4.25,,FALSE
MO,1/1/1996,4.25,,Fed,1/1/1996,4.25,,FALSE
MO,1/1/1997,4.75,,Fed,1/1/1997,4.75,,FALSE
MO,1/1/1998,5.15,,Fed,1/1/1998,5.15,,FALSE
MO,1/1/1999,5.15,,Fed,1/1/1999,5.15,,FALSE
MO,1/1/2000,5.15,,Fed,1/1/2000,5.15,,FALSE
MO,1/1/2001,5.15,,Fed,1/1/2001,5.15,,FALSE
MO,1/1/2002,5.15,,Fed,1/1/2002,5.15,,FALSE
MO,1/1/2003,5.15,,Fed,1/1/2003,5.15,,FALSE
MO,1/1/2004,5.15,,Fed,1/1/2004,5.15,,FALSE
MO,1/1/2005,5.15,,Fed,1/1/2005,5.15,,FALSE
MO,1/1/2006,5.15,,Fed,1/1/2006,5.15,,FALSE
MO,1/1/2007,6.5,,Fed,1/1/2007,5.15,,TRUE
MO,1/1/2008,6.65,,Fed,1/1/2008,5.85,,TRUE
MO,1/1/2009,7.05,,Fed,1/1/2009,6.55,,TRUE
MO,1/1/2010,7.25,,Fed,1/1/2010,7.25,,FALSE
MO,1/1/2011,7.25,,Fed,1/1/2011,7.25,,FALSE
MO,1/1/2012,7.25,,Fed,1/1/2012,7.25,,FALSE
MO,1/1/2013,7.35,,Fed,1/1/2013,7.25,,TRUE
MO,1/1/2014,7.5,,Fed,1/1/2014,7.25,,TRUE
MO,1/1/2015,7.65,,Fed,1/1/2015,7.25,,TRUE
MO,1/1/2016,7.65,,Fed,1/1/2016,7.25,,TRUE
MO,1/1/2017,7.7,,Fed,1/1/2017,7.25,,TRUE
MO,1/1/2018,7.85,,Fed,1/1/2018,7.25,,TRUE
MO,1/1/2019,8.6,,Fed,1/1/2019,7.25,,TRUE
MO,1/1/2020,9.45,,Fed,1/1/2020,7.25,,TRUE
MO,1/1/2021,10.3,,Fed,1/1/2021,7.25,,TRUE
MO,1/1/2022,11.15,,Fed,1/1/2022,7.25,,TRUE
MO,1/1/2023,12,,Fed,1/1/2023,7.25,,TRUE
