"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",263.172089225945,4048.70459652823,0.0650015536948819,0.948268919228068
"area_titleBarton County, Missouri",-447.185579674334,4214.80296097307,-0.106098810268248,0.915661449379725
"area_titleBates County, Missouri",-1025.8191947458,4122.2186209073,-0.248851234998307,0.803854046429243
"area_titleBourbon County, Kansas",-566.635050079182,4313.60620502861,-0.131359939490681,0.895686138311024
"area_titleBuchanan County, Missouri",-763.540647343076,4758.70595259874,-0.160451319108319,0.872765408398209
"area_titleCass County, Missouri",1374.65193868127,6030.21815703897,0.227960565087793,0.820021804847163
"area_titleCherokee County, Kansas",331.043400784853,5239.13501080156,0.063186652014567,0.949711334181414
"area_titleClay County, Missouri",2451.80628491968,4611.7119748073,0.531647747802404,0.595843735483495
"area_titleJackson County, Missouri",3542.69513187695,6093.31074209434,0.581407264757235,0.561935505772337
"area_titleJasper County, Missouri",3506.17212826493,4811.77395260206,0.728665178955237,0.467468644893002
"area_titleJohnson County, Kansas",15459.294957378,5172.99164731619,2.98846315852809,0.00333201574527262
"area_titleLeavenworth County, Kansas",257.040766197184,4857.60475433269,0.052915125704272,0.957877754126939
"area_titleNewton County, Missouri",-94.2860797256681,6649.75675743325,-0.0141788764860118,0.988708205137313
"area_titlePlatte County, Missouri",-265.961230322242,5356.92437840004,-0.0496481211111808,0.960476178561384
"area_titleWyandotte County, Kansas",591.619218173507,4783.75890696435,0.123672457094819,0.901758561881607
"year2013",-201.678491319268,4500.85469039347,-0.0448089319012511,0.964325818036168
"emplvl_all",-0.00775301122730495,0.801317538911739,-0.00967532950524737,0.992294607636596
"area_titleBarton County, Missouri:year2013",-303.501179894248,4704.72823931485,-0.0645098217061836,0.948659712414269
"area_titleBates County, Missouri:year2013",504.152998590595,4635.99709431404,0.108747479416872,0.913564252843941
"area_titleBourbon County, Kansas:year2013",149.059759957623,4841.43655204577,0.0307883328336993,0.975483815780792
"area_titleBuchanan County, Missouri:year2013",-1948.39723293156,5513.33783513048,-0.353397033012661,0.724342063957564
"area_titleCass County, Missouri:year2013",-1935.29891565355,6377.59645275764,-0.30345270824038,0.762012038833963
"area_titleCherokee County, Kansas:year2013",-974.87153024208,5752.68426958843,-0.169463764141505,0.865685542216823
"area_titleClay County, Missouri:year2013",-2168.35957674446,5066.17541508481,-0.428007204465928,0.669327901417262
"area_titleJackson County, Missouri:year2013",-19369.9361535948,6602.23482658069,-2.93384538150797,0.00393516348918753
"area_titleJasper County, Missouri:year2013",-9409.30275438594,5463.25278268027,-1.72228947271405,0.0873072449000923
"area_titleJohnson County, Kansas:year2013",-21043.6604632587,5634.3161158878,-3.7349094424999,0.00027605332132213
"area_titleLeavenworth County, Kansas:year2013",-332.608881973677,5356.44117583049,-0.0620951245529375,0.950578919323258
"area_titleNewton County, Missouri:year2013",-2707.25704928048,7326.22500711192,-0.369529607219601,0.712312011676268
"area_titlePlatte County, Missouri:year2013",-246.716258801891,5800.13805501337,-0.0425362735269105,0.966134043806227
"area_titleWyandotte County, Kansas:year2013",-1463.18899613622,5217.38533947599,-0.280444878216179,0.779565514089175
"area_titleBarton County, Missouri:emplvl_all",0.176170263245957,0.932984834328039,0.188824358943454,0.850514049840484
"area_titleBates County, Missouri:emplvl_all",0.383381465362457,0.864467227088168,0.443488721549135,0.658122214760326
"area_titleBourbon County, Kansas:emplvl_all",0.127705586525732,0.864787158824962,0.147672852473033,0.882821284654882
"area_titleBuchanan County, Missouri:emplvl_all",0.0557045203311438,0.803752843995678,0.0693055343409066,0.944848972750633
"area_titleCass County, Missouri:emplvl_all",-0.028177567214438,0.837652169414054,-0.0336387443897488,0.973214911171986
"area_titleCherokee County, Kansas:emplvl_all",-0.0795834124506892,1.10131226134724,-0.072262350328629,0.942500075968359
"area_titleClay County, Missouri:emplvl_all",0.0141980904317017,0.801900450461432,0.0177055523831315,0.985899891912317
"area_titleJackson County, Missouri:emplvl_all",0.0301220361048726,0.801469853730596,0.0375834923355679,0.970075289046197
"area_titleJasper County, Missouri:emplvl_all",-0.0276142282637537,0.80298714159613,-0.0343893779031926,0.972617448646679
"area_titleJohnson County, Kansas:emplvl_all",-0.0199483468163399,0.801397527137952,-0.0248919495516561,0.980177905016725
"area_titleLeavenworth County, Kansas:emplvl_all",0.00850340670605751,0.830145123933925,0.0102432773028422,0.991842311856506
"area_titleNewton County, Missouri:emplvl_all",0.0272930495573812,0.859491648687832,0.0317548746390369,0.974714432893366
"area_titlePlatte County, Missouri:emplvl_all",0.0457710312803161,0.807422761447351,0.0566878139504873,0.954877697031914
"area_titleWyandotte County, Kansas:emplvl_all",0.0228868698701662,0.802164715538898,0.0285313844236974,0.977280471725029
"year2013:emplvl_all",0.0482296765682767,0.896652170470063,0.0537886129724,0.957183098240095
"area_titleBarton County, Missouri:year2013:emplvl_all",0.162758759942109,1.05689239039668,0.153997475448774,0.877841699052039
"area_titleBates County, Missouri:year2013:emplvl_all",-0.165262729297124,1.01286219981556,-0.163164080293664,0.870633245394713
"area_titleBourbon County, Kansas:year2013:emplvl_all",-0.0438378544341679,0.976236420546931,-0.0449049569464003,0.964249420355429
"area_titleBuchanan County, Missouri:year2013:emplvl_all",0.00668263908983175,0.900172286254819,0.00742373342511463,0.994087731215769
"area_titleCass County, Missouri:year2013:emplvl_all",0.0720109470074412,0.929992067835145,0.0774317862463815,0.938394699118972
"area_titleCherokee County, Kansas:year2013:emplvl_all",0.222806032758597,1.21147858273939,0.183912481766528,0.854358071156986
"area_titleClay County, Missouri:year2013:emplvl_all",-0.0157815333789801,0.897228908872074,-0.0175891940428217,0.985992546133649
"area_titleJackson County, Missouri:year2013:emplvl_all",0.0203647832548802,0.896805756819463,0.0227081317219731,0.981916619325597
"area_titleJasper County, Missouri:year2013:emplvl_all",0.136246642376964,0.898722512113683,0.151600344422806,0.879728475867513
"area_titleJohnson County, Kansas:year2013:emplvl_all",0.0263764603177653,0.896731215336479,0.0294140093114391,0.976577839040466
"area_titleLeavenworth County, Kansas:year2013:emplvl_all",-0.000636058170354617,0.926910782746156,-0.000686212936772802,0.999453494311573
"area_titleNewton County, Missouri:year2013:emplvl_all",0.157729628798781,0.962430624154429,0.163886751772222,0.870065403209398
"area_titlePlatte County, Missouri:year2013:emplvl_all",-0.0377455547857255,0.902587727185687,-0.0418192643760158,0.966704564435834
"area_titleWyandotte County, Kansas:year2013:emplvl_all",-0.0232915673609459,0.897467985827074,-0.0259525328243115,0.979333522576508
