area_fips,date,State,proportion_limited
20005,2018-06-01,KS,4.931093884582256
20011,2018-06-01,KS,4.490404322712875
20013,2018-06-01,KS,3.4380875637926405
20021,2018-06-01,KS,5.730211817168339
20091,2018-06-01,KS,2.7839141957874656
20103,2018-06-01,KS,5.976125717739499
20209,2018-06-01,KS,3.028017098767883
29011,2018-06-01,MO,7.1484071484071485
29013,2018-06-01,MO,7.301066447908121
29021,2018-06-01,MO,3.7466569414053006
29037,2018-06-01,MO,6.216058525200844
29047,2018-06-01,MO,4.4993888209801085
29095,2018-06-01,MO,3.6883926711814343
29097,2018-06-01,MO,4.948317143913881
29145,2018-06-01,MO,3.689931350114416
29165,2018-06-01,MO,3.594324993635291
29217,2018-06-01,MO,5.588343784581335
20005,2019-06-01,KS,5.04828797190518
20011,2019-06-01,KS,5.0113895216400905
20013,2019-06-01,KS,2.9147371288477255
20021,2019-06-01,KS,5.474137931034482
20091,2019-06-01,KS,2.845066693756676
20103,2019-06-01,KS,5.6676718472125565
20107,2019-06-01,KS,2.2550544323483668
20121,2019-06-01,KS,5.623818525519849
20209,2019-06-01,KS,3.0961244877735226
29011,2019-06-01,MO,7.214121258633923
29013,2019-06-01,MO,7.306302689682859
29021,2019-06-01,MO,3.810123211735373
29037,2019-06-01,MO,6.317632796012752
29047,2019-06-01,MO,4.532092111709947
29095,2019-06-01,MO,3.6505797887934532
29097,2019-06-01,MO,5.1709128895595144
29145,2019-06-01,MO,3.97618780186454
29165,2019-06-01,MO,3.4963603275705184
29217,2019-06-01,MO,4.612788299268704
